"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "JSON with Comments", "Markdown", "Properties", "CSS", "comment", "blank", "total"
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 10, 21
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\dist\server.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\package-lock.json", "JSON", 3220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3221
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\config\cloudinary.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\auth.controllers.ts", "TypeScript", 0, 0, 292, 0, 0, 0, 0, 0, 0, 17, 46, 355
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\chat.controllers.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\material.controller.ts", "TypeScript", 0, 0, 715, 0, 0, 0, 0, 0, 0, 37, 117, 869
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\user.controllers.ts", "TypeScript", 0, 0, 471, 0, 0, 0, 0, 0, 0, 30, 92, 593
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\lib\db.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\lib\stream.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
